hop,from,to,X,Z,alpha,v_in,v_out,binned,KE_in,KE_out,thrust,moment,edge_cost
1,"(0.55,2.35)","(1.25,1.65)",0.99,0.0,50.5,3.25,3.15,3.25,4.23,4.23,0.999,0.0,1.879
2,"(1.25,1.65)","(1.95,0.95)",0.99,0.0,50.5,3.25,3.15,3.25,4.23,4.23,0.999,0.0,1.879
3,"(1.95,0.95)","(2.85,0.55)",0.98,0.0,51.9,3.25,3.15,3.25,4.23,4.23,1.021,0.0,1.892
4,"(2.85,0.55)","(3.45,1.15)",0.85,0.0,54.7,3.25,2.97,3.0,4.23,3.6,0.574,0.625,1.906
5,"(3.45,1.15)","(4.05,1.75)",0.85,0.0,54.7,3.0,2.97,3.0,3.6,3.6,1.012,0.0,1.748
6,"(4.05,1.75)","(4.55,2.35)",0.78,0.0,56.9,3.0,2.89,3.0,3.6,3.6,0.832,0.0,1.53
SUM,,,5.44,,,,,,,,5.437,0.625,10.834
